AS, 2, Upd, Table2B, 1000, 1, True, 1.0836622714996338, 1.000046730041504, 0.446126853174909, 2020-03-31_225419
AS, 2, Del, Table2A, 1000, 1, True, 1.000070571899414, 0.9300708770751953, 0.3697219892598697, 2020-03-31_225427
AS, 2, Del, Table2B, 1000, 1, True, 2.482579231262207, 2.3810863494873047, 0.48832849280450236, 2020-03-31_225427
AS, 2, Del, Table2A, 1000, 1, False, 0.9604554176330566, 0.9312629699707031, 0.16394424694643267, 2020-03-31_225432
AS, 2, Del, Table2B, 1000, 1, False, 0.9510421752929688, 0.9264945983886719, 0.12441956197824754, 2020-03-31_225432
AS, 2, Ins, Table2A, 1000, 5, True, 0.9346616268157959, 0.9133815765380859, 0.10458863689917905, 2020-03-31_225436
AS, 2, Ins, Table2B, 1000, 5, True, 2.4903430938720703, 2.556920051574707, 0.313464094589066, 2020-03-31_225436
AS, 2, Ins, Table2A, 1000, 5, False, 0.9815657138824463, 0.9629726409912109, 0.10802197762240338, 2020-03-31_225440
AS, 2, Ins, Table2B, 1000, 5, False, 0.9606146812438965, 0.9415149688720703, 0.13371924050156828, 2020-03-31_225440
AS, 2, Upd, Table2A, 1000, 5, False, 1.1696851253509521, 0.9343624114990234, 6.555352725021637, 2020-03-31_225442
AS, 2, Upd, Table2B, 1000, 5, False, 0.9909353256225586, 0.9529590606689453, 0.2068674242092827, 2020-03-31_225442
AS, 2, Upd, Table2A, 1000, 5, True, 0.9716949462890625, 0.9607076644897461, 0.07785849474235036, 2020-03-31_225449
AS, 2, Upd, Table2B, 1000, 5, True, 1.0472190380096436, 0.9682178497314453, 0.5883040133583671, 2020-03-31_225449
AS, 2, Del, Table2A, 1000, 5, True, 0.979313850402832, 0.962376594543457, 0.08637873502464591, 2020-03-31_225457
AS, 2, Del, Table2B, 1000, 5, True, 2.5931544303894043, 2.557516098022461, 0.24741549331835833, 2020-03-31_225457
AS, 2, Del, Table2A, 1000, 5, False, 0.9679474830627441, 0.9284019470214844, 0.16296714778981847, 2020-03-31_225501
